Variable,Data_Type,Non_Null_Count,Missing_Count,Missing_Percentage,Mean,Std,Min,Median,Max
SEX,int64,2132,0,0.0,0.25,0.43,0.0,0.0,1.0
AGE,float64,2132,0,0.0,64.88,13.44,18.69,64.2,103.28
BMI,float64,2097,35,1.64,27.24,4.49,15.22,26.23,53.98
REA,int64,2132,0,0.0,0.19,0.39,0.0,0.0,1.0
ECMO1,int64,2132,0,0.0,0.07,0.25,0.0,0.0,1.0
ECMO2,int64,2132,0,0.0,0.01,0.1,0.0,0.0,1.0
ECMO3,int64,2132,0,0.0,0.0,0.05,0.0,0.0,1.0
ECMO4,int64,2132,0,0.0,0.0,0.05,0.0,0.0,1.0
SHOCK,int64,2132,0,0.0,0.21,0.41,0.0,0.0,1.0
PERFl,int64,2132,0,0.0,0.07,0.26,0.0,0.0,1.0
PERFr,int64,2132,0,0.0,0.87,0.34,0.0,1.0,1.0
CAD2,int64,2132,0,0.0,0.28,0.45,0.0,0.0,1.0
CAD3,int64,2132,0,0.0,0.41,0.49,0.0,0.0,1.0
CLlca,int64,2132,0,0.0,0.02,0.14,0.0,0.0,1.0
CLlcx,int64,2132,0,0.0,0.11,0.31,0.0,0.0,1.0
CLrca,int64,2132,0,0.0,0.37,0.48,0.0,0.0,1.0
CLlad,int64,2132,0,0.0,0.5,0.5,0.0,1.0,1.0
TFBAN,int64,2132,0,0.0,0.1,0.3,0.0,0.0,1.0
KM,float64,2121,11,0.52,208.67,100.26,0.0,190.0,1020.0
RADT,float64,2132,0,0.0,14.15,11.56,0.0,11.11,163.8
FDP,float64,2121,11,0.52,4263.74,4045.99,0.0,3058.0,78573.0
DBT,float64,1650,482,22.61,1.81,7.64,0.07,0.93,242.23
CKadm,float64,2086,46,2.16,890.25,1663.46,6.0,284.0,25506.0
CKmax,float64,2079,53,2.49,2438.73,3801.49,25.0,1447.0,92740.0
CKMBa,float64,1952,180,8.44,108.9,175.35,0.0,44.0,1791.0
CKMBm,float64,2039,93,4.36,241.83,269.75,0.0,160.0,3209.0
TROPa,float64,2045,87,4.08,3.43,10.19,0.01,0.38,100.0
TROPm,float64,1988,144,6.75,9.27,15.16,0.0,3.86,128.0
KREAa,float64,2089,43,2.02,1.16,0.66,0.1,1.0,8.3
KREAm,float64,2092,40,1.88,1.4,0.97,0.1,1.1,12.5
BNP,float64,575,1557,73.03,4692.34,12636.86,5.3,1459.0,222000.0
LDHa,float64,2004,128,6.0,438.23,632.98,3.5,302.0,20000.0
LDHm,float64,1860,272,12.76,735.08,1189.69,5.8,471.0,20000.0
ADP,float64,1804,328,15.38,19.75,18.63,1.0,16.0,330.0
LDL,float64,1632,500,23.45,116.28,41.34,4.0,114.5,311.0
TRIGL,float64,1646,486,22.8,137.45,82.21,10.5,118.0,1248.0
HBA1C,float64,1469,663,31.1,6.01,1.23,3.2,5.7,15.9
LPa,float64,975,1157,54.27,83.5,116.29,4.3,32.5,790.0
LACa,float64,2020,112,5.25,2.86,3.16,0.2,1.8,26.0
LACm,float64,2027,105,4.92,4.03,4.56,0.6,2.3,31.6
HoINT,float64,2050,82,3.85,0.2,0.4,0.0,0.0,1.0
HTN,float64,1702,430,20.17,0.72,0.45,0.0,1.0,1.0
HLP,float64,1311,821,38.51,0.54,0.5,0.0,1.0,1.0
DM,float64,1623,509,23.87,0.23,0.42,0.0,0.0,1.0
FAMH,float64,1464,668,31.33,0.27,0.44,0.0,0.0,1.0
NIC1,float64,1656,476,22.33,0.41,0.49,0.0,0.0,1.0
NIC2,float64,1656,476,22.33,0.16,0.37,0.0,0.0,1.0
LVEF_dis,float64,2071,61,2.86,0.48,0.12,0.1,0.5,0.88
